País,Ano,Quantidade (Kg),Valor (US$),Década,Ano_Quantidade,Continente
Eslovênia,2018,9.95118187839879,11.134910140570163,2010,20081.485030608757,Europa
Eslovênia,2019,10.3407419831337,11.524765099074422,2010,20877.958063946942,Europa
Eslovênia,2020,9.340754410698116,10.590918426099964,2020,18868.323909610193,Europa
Eslovênia,2021,10.667675506200325,12.056074996586071,2020,21559.37219803086,Europa
Eslovênia,2022,10.35806023475132,11.757650452718016,2020,20943.99779466717,Europa
Eslovênia,2023,10.268373692146376,11.73032454837688,2020,20772.919979212118,Europa
Eslováquia,2016,7.174724309836376,8.263332667439967,2010,14464.244208630134,Europa
Eslováquia,2017,9.97231374346598,11.079508313092495,2010,20114.156820570883,Europa
Eslováquia,2018,9.287394001418473,9.79473239269909,2010,18741.96109486248,Europa
Eslováquia,2019,6.131226489483141,8.058643712215618,2010,12378.946282266461,Europa
Espanha,1970,12.472762157996602,11.409341148713658,1970,24571.341451253305,Europa
Espanha,1971,11.853019705636726,10.82361093043046,1970,23362.301839809985,Europa
Espanha,1972,12.613479201142251,11.667456072615773,1970,24873.78098465252,Europa
Espanha,1973,12.331850305512262,11.671090931886424,1970,24330.740652775694,Europa
Espanha,1974,12.800994902544396,12.279364927956607,1970,25269.163937622638,Europa
Espanha,1975,12.070304467450923,11.720776682306136,1970,23838.85132321557,Europa
Espanha,1976,10.868092144688834,10.62135173563291,1970,21475.350077905136,Europa
Espanha,1977,11.568057382408227,11.495158564176068,1970,22870.049445021064,Europa
Espanha,1978,11.382452248497327,11.230098255244629,1970,22514.490547527712,Europa
Espanha,1979,11.550471700044191,11.434715243933667,1970,22858.383494387454,Europa
Espanha,1980,11.620721013527604,11.6016503730266,1980,23009.027606784653,Europa
Espanha,1981,10.93875172236773,10.997037046861776,1980,21669.66716201047,Europa
Espanha,1982,11.693153164507605,11.559723169318769,1980,23175.829572054074,Europa
Espanha,1983,11.096834097620764,11.009588398503299,1980,22005.022015581977,Europa
Espanha,1984,8.881975184248867,9.038602608721874,1980,17621.838765549754,Europa
Espanha,1985,11.03367925435756,10.99932934024157,1980,21901.853319899757,Europa
Espanha,1986,10.867234225566579,11.020774381469046,1980,21582.327171975227,Europa
Espanha,1987,11.177075034987192,11.528867709390981,1980,22208.84809451955,Europa
Espanha,1988,11.117509692715066,11.592291020350968,1980,22101.60926911755,Europa
Espanha,1989,10.914269947503001,11.776611931865789,1980,21708.48292558347,Europa
Espanha,1990,11.791753455468385,13.12905692554473,1990,23465.589376382086,Europa
Espanha,1991,10.87602628394887,12.04178155845304,1990,21654.1683313422,Europa
Espanha,1992,10.857497871437298,11.878179503016893,1990,21628.135759903096,Europa
Espanha,1993,10.790040466146326,11.764967406327086,1990,21504.55064902963,Europa
Espanha,1994,12.021356223333946,12.801783387398643,1990,23970.58430932789,Europa
Espanha,1995,12.862210865208525,13.413851696898572,1990,25660.110676091008,Europa
Espanha,1996,13.142316973696273,13.753535149245852,1990,26232.064679497762,Europa
Espanha,1997,12.771994224396192,13.948307430895243,1990,25505.672466119195,Europa
Espanha,1998,12.822827323305429,14.099396183020701,1990,25620.008991964245,Europa
Espanha,1999,12.890315298194356,14.460721959264033,1990,25767.74028109052,Europa
Espanha,2000,13.183319238472633,14.345690473244858,2000,26366.638476945267,Europa
Espanha,2001,13.344938767345429,14.67456574361209,2000,26703.222473458205,Europa
Espanha,2002,12.98407325137591,14.223229790291136,2000,25994.114649254574,Europa
Espanha,2003,12.924239214551733,14.358743157082966,2000,25887.25114674712,Europa
Espanha,2004,13.310778000378404,14.553669822346647,2000,26674.799112758323,Europa
Espanha,2005,13.139210661580718,14.73345592018232,2000,26344.117376469338,Europa
Espanha,2006,13.786977329641969,15.271555769898859,2000,27656.67652326179,Europa
Espanha,2007,13.66706391249115,15.321111016515117,2000,27429.79727236974,Europa
Estados Unidos,1971,6.82001636467413,5.25227342804663,1970,13442.25225477271,América do Norte
Estados Unidos,1972,7.676473646389156,7.198931240688173,1970,15138.006030679417,América do Norte
Estados Unidos,1975,6.873163834212518,8.232706009860976,1970,13574.498572569722,América do Norte
Estados Unidos,1976,7.496097345175956,7.853993087224244,1970,14812.288354067688,América do Norte
Estados Unidos,1977,7.719129840906732,8.09437844497296,1970,15260.71969547261,América do Norte
Estados Unidos,1978,10.969077213506518,11.123624018204401,1970,21696.83472831589,América do Norte
Estados Unidos,1979,10.385944565501662,10.501252050663496,1970,20553.78429512779,América do Norte
Estados Unidos,1980,10.385944565501662,10.51110407747908,1980,20564.17023969329,América do Norte
Estados Unidos,1981,10.252417581902414,10.417627677269948,1980,20310.039229748683,América do Norte
Estados Unidos,1982,10.610636252731886,10.877745260164815,1980,21030.281052914597,América do Norte
Estados Unidos,1983,9.982991653648726,10.1093221647277,1980,19796.272449185424,América do Norte
Estados Unidos,1985,9.30801139914963,9.668144893764921,1980,18476.402627312014,América do Norte
